,0
0,0
1,48
2,98
3,148
4,198
5,248
6,298
7,348
8,398
9,448
10,498
11,548
12,598
13,648
14,698
15,748
16,798
17,848
18,898
19,948
20,998
21,1048
22,1098
23,1148
24,1198
25,1248
26,1298
27,1348
28,1398
29,1448
30,1498
31,1548
32,1598
33,1648
34,1698
35,1748
36,1798
37,1848
38,1898
39,1948
40,1998
41,2048
42,2098
43,2148
44,2198
45,2248
46,2298
47,2348
48,2398
49,2448
50,2498
51,2548
52,2598
53,2648
54,2698
55,2748
56,2798
57,2848
58,2898
59,2948
60,2998
61,3048
62,3098
63,3148
64,3198
65,3248
66,3298
67,3348
68,3398
69,3448
70,3498
71,3548
72,3598
73,3648
74,3698
75,3748
76,3798
77,3848
78,3898
79,3948
80,3998
81,4048
82,4098
83,4148
84,4198
85,4248
86,4298
87,4348
88,4398
89,4448
90,4498
91,4548
92,4598
93,4648
94,4698
95,4748
96,4798
97,4848
98,4898
99,4948
100,4998
101,5048
102,5098
103,5148
104,5198
105,5248
106,5298
107,5348
108,5398
109,5448
110,5498
111,5548
112,5598
113,5648
114,5698
115,5748
116,5798
117,5848
118,5898
119,5948
120,5998
121,6048
122,6098
123,6148
124,6198
125,6248
126,6298
127,6348
128,6398
129,6448
130,6498
131,6548
132,6598
133,6648
134,6698
135,6748
136,6798
137,6848
138,6898
139,6948
140,6998
141,7048
142,7098
143,7148
144,7198
145,7248
146,7298
147,7348
148,7398
149,7448
150,7498
151,7548
152,7598
153,7648
154,7698
155,7748
156,7798
157,7848
158,7898
159,7948
160,7998
161,8048
162,8098
163,8148
164,8198
165,8248
166,8298
167,8348
168,8398
169,8448
170,8498
171,8548
172,8598
173,8648
174,8698
175,8748
176,8798
177,8848
178,8898
179,8948
180,8998
181,9048
182,9098
183,9148
184,9198
185,9248
186,9298
187,9348
188,9398
189,9448
190,9498
191,9548
192,9598
193,9648
194,9698
195,9748
196,9798
197,9848
198,9898
199,9948
200,9998
201,10048
202,10098
203,10148
204,10198
205,10248
206,10298
207,10348
208,10398
209,10448
210,10498
211,10548
212,10598
213,10648
214,10698
215,10748
216,10798
217,10848
218,10898
219,10948
220,10998
221,11048
222,11098
223,11148
224,11198
225,11248
226,11298
227,11348
228,11398
229,11448
230,11498
231,11548
232,11598
233,11648
234,11698
235,11748
236,11798
237,11848
238,11898
239,11948
240,11998
241,12048
242,12098
243,12148
244,12198
245,12248
246,12298
247,12348
248,12398
249,12448
250,12498
251,12548
252,12598
253,12648
254,12698
255,12748
256,12798
257,12848
258,12898
259,12948
260,12998
261,13048
262,13098
263,13148
264,13198
265,13248
266,13298
267,13348
268,13398
269,13448
270,13498
271,13548
272,13598
273,13648
274,13698
275,13748
276,13798
277,13848
278,13898
279,13948
280,13998
281,14048
282,14098
283,14148
284,14198
285,14248
286,14298
287,14348
288,14398
289,14448
290,14498
291,14548
292,14598
293,14648
294,14698
295,14748
296,14798
297,14848
298,14898
299,14948
300,14998
301,15048
302,15098
303,15148
304,15198
305,15248
306,15298
307,15348
308,15398
309,15448
310,15498
311,15548
312,15598
313,15648
314,15698
315,15748
316,15798
317,15848
318,15898
319,15948
320,15998
321,16048
322,16098
323,16148
324,16198
325,16248
326,16298
327,16348
328,16398
329,16448
330,16498
331,16548
332,16598
333,16648
334,16698
335,16748
336,16798
337,16848
338,16898
339,16948
340,16998
341,17048
342,17098
343,17150
344,17200
345,17250
346,17301
347,17351
348,17401
349,17451
350,17502
351,17552
352,17604
353,17654
354,17704
355,17754
356,17804
357,17854
358,17904
359,17954
360,18004
361,18054
362,18104
363,18154
364,18204
365,18254
366,18304
367,18354
368,18404
369,18454
370,18504
371,18554
372,18604
373,18654
374,18704
375,18754
376,18804
377,18854
378,18904
379,18954
380,19004
381,19054
382,19104
383,19154
384,19204
385,19254
386,19304
387,19354
388,19404
389,19454
390,19504
391,19554
392,19604
393,19654
394,19704
395,19754
396,19804
397,19854
398,19904
399,19954
400,20004
401,20054
402,20104
403,20154
404,20204
405,20254
406,20304
407,20354
408,20404
409,20454
410,20504
411,20554
412,20604
413,20654
414,20704
415,20754
416,20804
417,20854
418,20904
419,20954
420,21004
421,21054
422,21104
423,21154
424,21204
425,21254
426,21304
427,21354
428,21404
429,21454
430,21504
431,21554
432,21604
433,21654
434,21704
435,21754
436,21804
437,21854
438,21904
439,21954
440,22004
441,22054
442,22104
443,22154
444,22204
445,22254
446,22304
447,22354
448,22404
449,22454
450,22504
451,22554
452,22604
453,22654
454,22704
455,22754
456,22804
457,22854
458,22904
459,22954
460,23004
461,23054
462,23104
463,23154
464,23204
465,23254
466,23304
467,23354
468,23404
469,23454
470,23504
471,23554
472,23604
473,23654
474,23704
475,23754
